product_id,sku,product_name,brand,category,subcategory,supplier,cost_price,selling_price,discount_percent,profit_margin,weight,length,width,height,warehouse_id,stock_quantity,reorder_level,launch_date,product_status,supplier_rating,return_rate,created_at,updated_at,color,material,warranty_months,is_active,min_order_qty,max_order_qty
PROD-00001,GRO-PAN-PEP-998,PepsiCo Smart Pantry,PepsiCo,Groceries,Pantry,Apex Distributors,4.32,5.12,10,0.16,0.38,10.30,13.40,20.50,WH-07,980,60,2025-06-25,Active,3.76,0.01,2025-06-09,2025-10-31,,Tin Can,0,True,1,20
PROD-00002,HOM-APP-KIT-335,KitchenAid Pro Appliance,KitchenAid,Home & Kitchen,Appliances,Prime Logistics,94.56,155.65,0,0.39,4.39,54.40,58.80,34.20,WH-10,842,32,2024-06-15,Active,3.72,0.08,2024-06-05,2024-07-10,White,Wood,24,True,1,100
PROD-00003,BEA-SKI-EST-918,Estee Lauder Pro Skincare,Estee Lauder,Beauty,Skincare,Summit Suppliers,34.67,95.39,0,0.64,0.30,7.60,6.30,13.00,WH-08,1283,84,2025-01-19,Active,4.71,0.02,2025-01-03,2025-04-23,Black,Natural Oil,0,True,1,100
PROD-00004,APP-PAN-ZAR-594,Zara Pro Pant,Zara,Apparel,Pants,Elite Wholesale,36.71,88.54,10,0.59,0.45,32.50,31.60,2.70,WH-06,570,48,2024-10-08,Active,4.30,0.15,2024-09-23,2025-02-25,Grey,Cotton,0,True,1,5
PROD-00005,BEA-HAI-NEU-296,Neutrogena Ultra Haircare,Neutrogena,Beauty,Haircare,Global Trade Corp,26.95,80.24,0,0.66,0.31,8.20,6.10,17.50,WH-06,816,75,2025-06-02,Active,4.38,0.04,2025-05-22,2025-10-02,Pink,Natural Oil,,True,1,10
PROD-00006,GRO-ORG-NES-582,Nestle Smart Organic,Nestle,Groceries,Organic,Summit Suppliers,4.02,4.71,0,0.15,1.18,9.90,8.40,11.70,WH-05,1183,87,2025-02-06,Active,3.69,0.02,2025-02-01,2025-04-05,Blue,Glass Jar,,True,1,100
PROD-00007,ELE-TV-DEL-982,Dell Deluxe TV,Dell,Electronics,TV,Apex Distributors,501.08,651.61,25,0.23,18.69,96.70,81.20,6.60,WH-06,695,74,2024-02-25,Active,4.88,0.06,2024-02-15,2024-05-10,Black,Metal,,True,1,10
PROD-00008,ELE-LAP-APP-175,Apple Smart Laptop,Apple,Electronics,Laptops,Prime Logistics,725.42,997.84,0,0.27,2.27,37.10,21.80,2.30,WH-04,465,21,2024-06-18,Active,3.75,0.07,2024-06-02,2024-07-05,,Plastic,24,True,1,20
PROD-00009,GRO-SNA-KEL-634,Kelloggs Smart Snack,Kelloggs,Groceries,Snacks,Elite Wholesale,5.55,6.50,0,0.15,0.46,18.70,7.20,21.90,WH-09,1454,30,2025-08-23,Active,4.90,0.01,2025-08-06,2025-09-10,,Plastic Bottle,0,True,1,100
PROD-00010,BEA-MAK-NEU-765,Neutrogena Smart Makeup,Neutrogena,Beauty,Makeup,Summit Suppliers,20.69,50.32,0,0.59,0.05,5.80,3.80,11.70,WH-07,1418,33,2024-12-23,Active,3.99,0.04,2024-12-04,2025-03-15,Grey,Natural Oil,0,True,1,5
